Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code,Country
Department of Health,NHS Business Services Authority,07/06/2024,External Project Support,"Digital, Data & Technology",CAPGEMINI UK PLC,80149120,"23,947.00",SOW01 Support Delivery of the Tech,GU21 6DB,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,External Project Support,"Digital, Data & Technology",CAPGEMINI UK PLC,80149780,"25,813.00",G10017-SOW01 Support Delivery of the,GU21 6DB,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Professional Fees,Workforce Transformation,CAPGEMINI UK PLC,80149944,"87,152.00",MS33 Negotiation: Feedback to Bidders,GU21 6DB,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Professional Fees,Workforce Transformation,CAPGEMINI UK PLC,80149944,"35,850.00",MS31A Operating Model C2,GU21 6DB,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Professional Fees,Workforce Transformation,CAPGEMINI UK PLC,80149944,"71,250.00","MS30 Financial Modelling Support, MS32 ",GU21 6DB,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,External Project Support,"Digital, Data & Technology",CAPITA BUSINESS SERVICES LTD,80149445,"535,611.00",G10024 Transition of the existing,DL1 9HN,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Software Licences,Primary Care Services,COMPUTACENTER (UK) LTD,80149383,"119,686.66",Quotation number: 9083424/1,AL10 9TW,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Software Licences,Primary Care Services,COMPUTACENTER (UK) LTD,80149384,"195,641.71",Quotation number: 9083437/1,AL10 9TW,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,IT Hardware Purchases,DDAT,COMPUTACENTER (UK) LTD,80149391,"34,741.08","Dell Latitude 5440 14"" Intel Core i7",AL10 9TW,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,IT Hardware Purchases,DDAT,COMPUTACENTER (UK) LTD,80149393,"154,306.32","Product: DellLatitude 5440 14"" Intel ",AL10 9TW,Great Britain
